Our Column,Column Name,Concept,Formula
POP_WHITE,P0070001,Race(25) White,
,,,
POP_BLACK,P0070002,Race(25) Black,
,,,
POP_ASIAN,P0070006,Race(25) Chinese,Sum of columns
,P0070007,Race(25) Filipino,
,P0070008,Race(25) Japanese,
,P0070009,Race(25) Asian Indian,
,P0070010,Race(25) Korean,
,P0070011,Race(25) Vietnamese,
,P0070012,Race(25) Cambodian,
,P0070013,Race(25) Hmong,
,P0070014,Race(25) Laotian,
,P0070015,Race(25) Thai,
,P0070016,Race(25) Other Asian,
,,,
POP_AIAN,P0070003,Race(25) American Indian,Sum of columns
,P0070004,Race(25) Eskimo,
,P0070005,Race(25) Aleut,
,,,
POP_NHOPI,P0070017,Race(25) Hawaiian,Sum of columns
,P0070018,Race(25) Samoan,
,P0070019,Race(25) Tongan,
,P0070020,Race(25) Other Polynesian,
,P0070021,Race(25) Guamanian,
,P0070022,Race(25) Other Micronesian,
,P0070023,Race(25) Melanesian,
,P0070024,"Race(25) Pacific Isldr, n_s_",